"Cód Transacción","Cód Transacción","Descripción Transacción","Artículo","Descripción Artículo","Planta","Desc. Planta","Cód. Configuración","Dirección","Cantidad","UdM","Dirección Paralela","Ctd Paralela","UdM Paralela","Ubicación","Almacén","Cajón","Fila","Nivel","Caja","Nº Lote","Nº Serie","Cód. Condición","Desc. Cód. Condición","Nº R/D/R","Nº Rev","Fecha Caducidad","Ref Orden 1","Ref Orden 2","Ref Orden 3","Ref Orden 4","Tipo Orden","Coste","Coste Inventario","Coste Total","Creado","Hora Creación","Nota","Realizado Por","Fecha Aplicada","Incl en Art Agr por Periodo","Incl.Valor Agreg. por Per.","Devol/Deshec","Propiedad","Propietario","Nombre Propietario","Propiedad Previo","Propietario Previo","Nombre Propietario Previo","Cód. Programa","Descripción de Programa","Cód Proyecto","Nombre Proyecto","Cód Subproyecto","Descripción Subproyecto","Cód Actividad","Descripción Actividad","Secuencia Actividad","Tiene Errores Contab","Tiene Contab Trasnferidas","Cód Inf Trans Inv","Fecha Aplicada Fecha Modificación","Fecha Aplicada Modificada por Usuario"
"790,769","ARRIVAL","Recepción de Orden de Compra","02.005.PR0131","PERNO HEX. ACERO W3/4 X 10 X 1 1/2","05M-O","TERMOPICHINCHA M-O","*","+","5","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100027195","1","1","1","Orden Compra","2.3","11.51","11.51","09/04/2014","10:56:10","","VTIXE","02/04/2014","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","113503","09/04/2014 10:56:11","VTIXE"
"790,770","ARRIVAL","Recepción de Orden de Compra","P02.005.TN0015","TORNILLO COLEPATO 1/2 X 8","05M-O","TERMOPICHINCHA M-O","*","+","100","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100027195","2","1","1","Orden Compra","0.01","0.79","0.79","09/04/2014","10:56:11","","VTIXE","02/04/2014","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","113503","09/04/2014 10:56:11","VTIXE"
"790,772","ARRIVAL","Recepción de Orden de Compra","P01.144.ES0018","CARBONES","05M-O","TERMOPICHINCHA M-O","*","+","2","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100027251","1","1","1","Orden Compra","10","20","20","09/04/2014","11:00:26","","VTIXE","02/04/2014","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","113504","09/04/2014 11:00:26","VTIXE"
"792,187","ARRIVAL","Recepción de Orden de Compra","P01.036.MO0047","MOTORTOOL ELECTRICO,  110/220V, 500W,  27000RPM","05M-O","TERMOPICHINCHA M-O","*","+","3","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","P100027364","1","1","1","Orden Compra","423.83","1,271.49","1,271.49","10/04/2014","9:59:47","","VTIXE","08/04/2014","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","113622","10/04/2014 9:59:47","VTIXE"
"792,188","ARRIVAL","Recepción de Orden de Compra","05.035.AM0002","AMOLADORA PEQUEÑA 10000 RPM 110V  500W PIEDRA 4""","05M-O","TERMOPICHINCHA M-O","*","+","2","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100027364","2","1","1","Orden Compra","279.12","558.23","558.23","10/04/2014","9:59:48","","VTIXE","08/04/2014","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","113622","10/04/2014 9:59:48","VTIXE"
"792,586","INVM-ISS","Transferencia Interna - Salida","P02.007.EL0010","ELECTRODO 6011  1/8""-H406","05M-O","TERMOPICHINCHA M-O","*","-","10","kg","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","","","","","","5.31","53.13","53.13","10/04/2014","11:52:02","","VTIXE","08/04/2014","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","113649","10/04/2014 11:55:57","VTIXE"
"792,590","INVM-ISS","Transferencia Interna - Salida","P02.007.EL0036","ELECTRODO 7018 DE 1/8""  ( K- 7018)","05M-O","TERMOPICHINCHA M-O","*","-","10","kg","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","","","","","","6.54","65.42","65.42","10/04/2014","11:52:41","","VTIXE","08/04/2014","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","113649","10/04/2014 11:55:57","VTIXE"
"792,654","INTSHIP","Consumo para Solic.Material","P01.036.MO0047","MOTORTOOL ELECTRICO,  110/220V, 500W,  27000RPM","05M-O","TERMOPICHINCHA M-O","*","-","3","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","80501","1","1","1","Solicitud Material","423.83","1,271.49","1,271.49","10/04/2014","12:01:46","INT","VTIXE","10/04/2014","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","113650","",""
"792,655","INTSHIP","Consumo para Solic.Material","05.035.AM0002","AMOLADORA PEQUEÑA 10000 RPM 110V  500W PIEDRA 4""","05M-O","TERMOPICHINCHA M-O","*","-","2","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","80501","2","1","1","Solicitud Material","279.12","558.23","558.23","10/04/2014","12:01:46","INT","VTIXE","10/04/2014","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","113650","",""
"792,670","ARRIVAL","Recepción de Orden de Compra","P12.071.BO0002","BOTELLON DE AGUA  PURIFICADA-CARGA","05M-O","TERMOPICHINCHA M-O","*","+","12","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100027408","1","1","1","Orden Compra","2.36","28.36","28.36","10/04/2014","12:07:28","","VTIXE","04/04/2014","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","113651","10/04/2014 12:07:29","VTIXE"
"792,676","INTSHIP","Consumo para Solic.Material","P12.071.BO0002","BOTELLON DE AGUA  PURIFICADA-CARGA","05M-O","TERMOPICHINCHA M-O","*","-","12","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","81073","1","1","1","Solicitud Material","2.17","26.05","26.05","10/04/2014","12:09:45","INT","VTIXE","04/04/2014","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","113652","10/04/2014 12:10:28","VTIXE"
