"Cód Transacción","Cód Transacción","Descripción Transacción","Artículo","Descripción Artículo","Planta","Desc. Planta","Cód. Configuración","Dirección","Cantidad","UdM","Dirección Paralela","Ctd Paralela","UdM Paralela","Ubicación","Almacén","Cajón","Fila","Nivel","Caja","Nº Lote","Nº Serie","Cód. Condición","Desc. Cód. Condición","Nº R/D/R","Nº Rev","Fecha Caducidad","Ref Orden 1","Ref Orden 2","Ref Orden 3","Ref Orden 4","Tipo Orden","Coste","Coste Inventario","Coste Total","Creado","Hora Creación","Nota","Realizado Por","Fecha Aplicada","Incl en Art Agr por Periodo","Incl.Valor Agreg. por Per.","Devol/Deshec","Propiedad","Propietario","Nombre Propietario","Propiedad Previo","Propietario Previo","Nombre Propietario Previo","Cód. Programa","Descripción de Programa","Cód Proyecto","Nombre Proyecto","Cód Subproyecto","Descripción Subproyecto","Cód Actividad","Descripción Actividad","Secuencia Actividad","Tiene Errores Contab","Tiene Contab Trasnferidas","Cód Inf Trans Inv","Fecha Aplicada Fecha Modificación","Fecha Aplicada Modificada por Usuario"
"1,913,611","INVM-ISS","Transferencia Interna - Salida","P14.006.GN0004","GUANTES DE NITRILO EXTRA LARGO","05M-O","TERMOPICHINCHA M-O","*","-","20","PAR","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","","","","","","7.27","145.38","145.38","20/01/2017","11:10:55","","VTIXE","20/01/2017","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","307818","",""
"1,913,615","INVM-ISS","Transferencia Interna - Salida","P14.006.GU0008","GUANTE DE NITRILO","05M-O","TERMOPICHINCHA M-O","*","-","10","PAR","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","01/01/2999","","","","","","3.03","30.28","30.28","20/01/2017","11:11:36","","VTIXE","20/01/2017","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","307818","",""
"1,913,724","INTSHIP","Consumo para Solic.Material","P12.018.SC0001","SACAGRAPAS","05M-O","TERMOPICHINCHA M-O","*","-","1","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","224606","1","1","1","Solicitud Material","0.28","0.28","0.28","20/01/2017","11:45:55","INT","VTIXE","20/01/2017","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","307823","",""
"1,913,725","INTSHIP","Consumo para Solic.Material","P12.027.EG0001","ENGRAPADORA SWINGLINE","05M-O","TERMOPICHINCHA M-O","*","-","1","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","224606","2","1","1","Solicitud Material","4.29","4.29","4.29","20/01/2017","11:45:55","INT","VTIXE","20/01/2017","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","307823","",""
"1,913,726","INTSHIP","Consumo para Solic.Material","P12.019.PB0001","PAPEL BOND 75 GR. A4 -RESMA","05M-O","TERMOPICHINCHA M-O","*","-","1","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","224606","3","1","1","Solicitud Material","2.51","2.51","2.51","20/01/2017","11:45:56","INT","VTIXE","20/01/2017","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","307823","",""
"1,913,727","INTSHIP","Consumo para Solic.Material","P12.015.CB0001","CINTA DE EMBALAJE- CAFE","05M-O","TERMOPICHINCHA M-O","*","-","1","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","01/01/2999","224606","4","1","1","Solicitud Material","0.84","0.84","0.84","20/01/2017","11:45:56","INT","VTIXE","20/01/2017","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","307823","",""
"1,913,728","INTSHIP","Consumo para Solic.Material","P12.002.ES0001","ESFEROGRAFICO AZUL","05M-O","TERMOPICHINCHA M-O","*","-","2","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","01/01/2999","224606","5","1","1","Solicitud Material","0.15","0.31","0.31","20/01/2017","11:45:56","INT","VTIXE","20/01/2017","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","307823","",""
"1,913,729","INTSHIP","Consumo para Solic.Material","P12.020.SM0010","SOBRE AMARILLO F3","05M-O","TERMOPICHINCHA M-O","*","-","10","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","01/01/2999","224606","6","1","1","Solicitud Material","0.06","0.58","0.58","20/01/2017","11:45:57","INT","VTIXE","20/01/2017","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","307823","",""
"1,913,730","INTSHIP","Consumo para Solic.Material","P12.020.SM0003","SOBRE MANILA PEQUEÑO F1 24 X 17.5 CM","05M-O","TERMOPICHINCHA M-O","*","-","10","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","224606","7","1","1","Solicitud Material","0.05","0.45","0.45","20/01/2017","11:45:57","INT","VTIXE","20/01/2017","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","307823","",""
"1,913,731","INTSHIP","Consumo para Solic.Material","P12.017.TC0001","TACHUELAS DE COLORES","05M-O","TERMOPICHINCHA M-O","*","-","1","jgo","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","224606","8","1","1","Solicitud Material","0.27","0.27","0.27","20/01/2017","11:45:58","INT","VTIXE","20/01/2017","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","307823","",""
